"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","42","2","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","7","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","7","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","52","6","0.000000","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","68","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","0","23","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","84","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","58","1","0.000000","0","0"
"/Game/Materials_Textures/Metal1.Metal1","0","14","1","1","26.965755","0","71"
"/Game/Materials_Textures/Overall.Overall","0","14","1","1","27.179455","0","93"
"/Game/Materials_Textures/TestMat.TestMat","0","14","5","1","27.048861","0","97"
"/Game/Materials_Textures/BlackNonShiny.BlackNonShiny","0","14","1","1","26.883812","0","107"
"/Game/Materials_Textures/BlackShiny.BlackShiny","0","14","1","1","26.900297","0","77"
"/Game/Materials_Textures/Copper.Copper","0","14","1","1","26.785429","0","62"
"/Game/Materials_Textures/Metal.Metal","0","16","1","1","29.750402","0","60"
"/Game/Materials_Textures/D_ValveLabel.D_ValveLabel","0","14","1","1","27.723619","0","82"
"/Game/Materials_Textures/BlackConncector1.BlackConncector1","0","14","1","1","26.852392","0","72"
"/Game/Materials_Textures/HoseMaterial.HoseMaterial","0","14","1","1","27.651403","0","81"
"/Game/Materials_Textures/FlowControlDecal_Mat.FlowControlDecal_Mat","0","21","5","1","42.076302","0","78"
"/Game/Materials_Textures/Outline.Outline","0","16","1","1","21.622175","0","121"
"/Game/Meshes/Material__22_Slot__1_002.Material__22_Slot__1_002","0","14","1","1","27.627630","0","82"
"/Game/Materials_Textures/CounterClockwiseDecalMat.CounterClockwiseDecalMat","0","21","1","1","42.887203","0","138"
"/Game/Meshes/Material__22_Slot__2_002.Material__22_Slot__2_002","0","14","1","1","28.162024","0","73"
"/Game/Meshes/Material__22_Slot__3_002.Material__22_Slot__3_002","0","14","2","1","27.518217","0","77"
"/Game/Materials_Textures/AtoBDecalMat.AtoBDecalMat","0","21","2","1","38.356819","0","89"
"/Game/Materials_Textures/CounterClockWiseAB.CounterClockWiseAB","0","21","1","1","41.371788","0","86"
"Globals","49","5088","0","1","0.000000","0","0"
"/Game/Materials_Textures/BlackNonShiny.BlackNonShiny","49","14","6","1","20.201155","0","58"
"/Game/Materials_Textures/BlackShiny.BlackShiny","49","14","3","1","18.800192","0","64"
"/Game/Materials_Textures/Metal1.Metal1","49","14","1","1","17.956671","0","49"
"/Game/Materials_Textures/Overall.Overall","49","14","2","1","17.656450","0","55"
"/Game/Materials_Textures/TestMat.TestMat","49","14","14","1","17.989634","0","20"
"/Game/Materials_Textures/Copper.Copper","49","14","4","1","18.226936","0","36"
"/Game/Materials_Textures/Metal.Metal","49","16","7","1","20.269825","0","45"
"/Game/Materials_Textures/BlackConncector1.BlackConncector1","49","14","6","1","18.302784","0","90"
"/Game/Materials_Textures/HoseMaterial.HoseMaterial","49","14","1","1","17.955948","0","68"
"/Game/Materials_Textures/Outline.Outline","49","18","3","1","18.994944","0","172"
"/Game/Meshes/Material__22_Slot__1_002.Material__22_Slot__1_002","49","14","1","1","19.426098","0","98"
"/Game/Meshes/Material__22_Slot__2_002.Material__22_Slot__2_002","49","14","1","1","20.085552","0","90"
"/Game/Meshes/Material__22_Slot__3_002.Material__22_Slot__3_002","49","14","1","1","19.827211","0","88"
"/Game/Materials_Textures/CounterClockWiseAB.CounterClockWiseAB","49","21","1","1","31.350988","0","155"
"/Game/Materials_Textures/AtoBDecalMat.AtoBDecalMat","49","21","2","1","29.609493","0","156"
"/Game/Materials_Textures/CounterClockwiseDecalMat.CounterClockwiseDecalMat","49","21","2","1","30.373009","0","168"
"/Game/Materials_Textures/FlowControlDecal_Mat.FlowControlDecal_Mat","49","21","6","1","28.665287","0","98"
"/Game/Materials_Textures/D_ValveLabel.D_ValveLabel","49","14","4","1","18.892685","0","50"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","0","3","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","0","29","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","0","7","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","49","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","0","43","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","0","6","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","0","82","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","49","0","33","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","0","802","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","0","5","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","0","46","2","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","0","50","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","0","50","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","0","50","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","0","7","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","49","0","7","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","0","56","6","0.000000","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","0","68","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","0","43","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","0","4","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","49","0","23","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","0","88","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","0","62","1","0.000000","0","0"
